Termino,TFIDF,Coeficiente,Contribucion,Contribucion_absoluta,Direccion
your app,0.2528863610125144,-0.7551962729929124,-0.19097883732739102,0.19097883732739102,Contradice
from,0.12609080913960946,-0.6024293782292359,-0.07596080775039618,0.07596080775039618,Contradice
when to,0.18998689596863863,-0.27542054255397463,-0.05232629396582799,0.05232629396582799,Contradice
to move,0.24294229270519954,-0.18736411129269145,-0.04551866676811863,0.04551866676811863,Contradice
when,0.11461416011080447,-0.26935666527107893,-0.030872087960291807,0.030872087960291807,Contradice
your,0.11905828430971002,-0.2062064112592798,-0.024550581538192322,0.024550581538192322,Contradice
call,0.11589094379933869,-0.19091022739552316,-0.022124766433813545,0.022124766433813545,Contradice
right,0.09474320808136777,-0.025398628327551603,-0.0024063475286185436,0.0024063475286185436,Contradice
vps vps,0.1360467305006311,-0.0023972243322606217,-0.00032613453268061615,0.00032613453268061615,Contradice
