Termino,TFIDF,Coeficiente,Contribucion,Contribucion_absoluta,Direccion
building,0.19586403446635728,2.370283928460427,0.4642533730590258,0.4642533730590258,Favorece
scratch,0.3212194179148607,0.5772984748200114,0.18543948004482091,0.18543948004482091,Favorece
from scratch,0.3212194179148607,0.5772984748200114,0.18543948004482091,0.18543948004482091,Favorece
let,0.16440971095655618,0.5650776645745951,0.09290425550071499,0.09290425550071499,Favorece
let s,0.18187666338956462,0.44345600438986876,0.08065429843849746,0.08065429843849746,Favorece
in a,0.14171583652961,0.27337317368797354,0.03874130799394554,0.03874130799394554,Favorece
because,0.28567391518614815,0.13475691053018357,0.03849653422954702,0.03849653422954702,Favorece
be,0.13876732349595688,0.19961003474687294,0.02769935026475851,0.02769935026475851,Favorece
a,0.0468760072204751,0.11418386769934011,0.005352483806736041,0.005352483806736041,Favorece
