Categoria,Puntuacion,Puntuacion_reconstruida,Intercepto,Posicion
frontend,3.580459391265681,3.580459391265681,-0.4451063611691545,1
cloud,-2.042400954615887,-2.042400954615887,-0.7587329513838929,2
datascience,-2.0709405734546342,-2.0709405734546347,-0.8543819939570603,3
backend,-2.9070609745848297,-2.9070609745848297,-0.7889802164351708,4
