Categoria,Puntuacion,Puntuacion_reconstruida,Intercepto,Posicion
frontend,-0.08830684787920151,-0.08830684787920162,-0.4451063611691545,1
datascience,-0.09829283075147799,-0.09829283075147799,-0.8543819939570603,2
backend,-1.119131454209573,-1.119131454209573,-0.7889802164351708,3
cloud,-1.5281593968551723,-1.5281593968551725,-0.7587329513838929,4
