Categoria,Puntuacion,Puntuacion_reconstruida,Intercepto,Posicion
cloud,1.6551283399163452,1.6551283399163448,-0.7587329513838929,1
backend,-1.4608090243329634,-1.4608090243329632,-0.7889802164351708,2
frontend,-1.5881792015609535,-1.5881792015609535,-0.4451063611691545,3
datascience,-2.1559634350690597,-2.1559634350690597,-0.8543819939570603,4
