Categoria,Puntuacion,Puntuacion_reconstruida,Intercepto,Posicion
backend,-0.3415868860913621,-0.3415868860913622,-0.7889802164351708,1
frontend,-0.34558169996475274,-0.34558169996475274,-0.4451063611691545,2
datascience,-0.891007446474216,-0.891007446474216,-0.8543819939570603,3
cloud,-1.4995800179347745,-1.4995800179347745,-0.7587329513838929,4
