idioma,documentos,accuracy,precision_macro,recall_macro,f1_macro
en,20,0.95,0.9583333333333334,0.95,0.9494949494949495
es_en,20,0.95,0.9583333333333334,0.95,0.9494949494949495
ru,20,0.8,0.8888888888888888,0.8,0.761904761904762
es,20,0.75,0.79375,0.75,0.746474358974359
