Transformacion,Documentos,Tasa_estabilidad,Accuracy,Margen_medio,Cambio_margen_medio,Terminos_promedio,Cambio_terminos_medio,Diagnostico_estabilidad
Mayúsculas,80,0.325,0.325,0.31729214289881347,-1.7625134443334125,0.525,-27.225,Muy sensible
Texto truncado,80,0.9,0.9,1.7457116613656223,-0.3340939258666038,14.4125,-13.3375,Alta
Errores tipográficos,80,0.9375,0.9375,1.8603378745577874,-0.21946771267443865,23.2,-4.55,Alta
Ruido web,80,0.9875,0.9875,1.9661646014410714,-0.1136409857911544,29.7375,1.9875,Alta
Sin puntuación,80,0.9875,0.9875,2.099458803262138,0.01965321602991223,28.3625,0.6125,Alta
Espacios irregulares,80,1.0,1.0,2.079805587232226,0.0,27.75,0.0,Alta
Minúsculas,80,1.0,1.0,2.079805587232226,0.0,27.75,0.0,Alta
Original,80,1.0,1.0,2.079805587232226,0.0,27.75,0.0,Alta
